ἐλέλυντο; ἐλέλυντο<br><br>plupi m-p p3
λελύσῃ; λελύ̄σῃ<br><br>futpi pas s2
λελύσθω; λελύσθω<br><br>perimp m-p s3
ἐλέλυσθον; ἐλέλυσθον<br><br>plupi m-p d2
λελύκοιμι; λελύκοιμι<br><br>pero  s1
λελύσοιο; λελύ̄σοιο<br><br>futpo pas s2
ἐλέλυτο; ἐλέλυτο<br><br>plupi m-p s3
λελύκῃς; λελύκῃς<br><br>pers  s2
λελυκότες ὦσι; λελυκότες ὦσι<br><br>pers  p3
λελυκότες ὦμεν; λελυκότες ὦμεν<br><br>pers  p1
λελύσονται; λελύ̄σονται<br><br>futpi pas p3
λελύκωμεν; λελύκωμεν<br><br>pers  p1
λελυκότες εἶεν; λελυκότες εἶεν<br><br>pero  p3
λελυκότε εἴητον; λελυκότε εἴητον<br><br>pero  d2
λελυκὼς εἴης; λελυκὼς εἴης<br><br>pero  s2
λελυκὼς ἔστω; λελυκὼς ἔστω<br><br>perimp  s3
λελύκοιτε; λελύκοιτε<br><br>pero  p2
λελυκὼς ὦ; λελυκὼς ὦ<br><br>pers  s1
λελύκοιμεν; λελύκοιμεν<br><br>pero  p1
λελύκοις; λελύκοις<br><br>pero  s2
ἐλελύκεσαν; ἐλελύκεσαν<br><br>plupi  p3
λελυκότε ἦτον; λελυκότε ἦτον<br><br>pers  d2<br>pers  d3
λελυμένω εἴητον; λελυμένω εἴητον<br><br>pero m-p d2
λελύσοιντο; λελύ̄σοιντο<br><br>futpo pas p3
λελυμένος ᾖς; λελυμένος ᾖς<br><br>pers m-p s2
ἐλελύμεθα; ἐλελύμεθα<br><br>plupi m-p p1
λελύσει; λελύ̄σει<br><br>futpi pas s2
ἐλελύκειν; ἐλελύκειν<br><br>plupi  s3
λελυκότε ἔστον; λελυκότε ἔστον<br><br>perimp  d2
λέλυκας; λέλυκας<br><br>peri  s2
λελύκωσι; λελύκωσι<br><br>pers  p3
λελυκότε εἰήτην; λελυκότε εἰήτην<br><br>pero  d3
