ἐλύθητον; ἐλύθητον<br><br>ai pas d2
λυθείη; λυθείη<br><br>ao pas s3
λυόμεθα; λῡόμεθα<br><br>pi m-p p1
λυώμεθα; λῡώμεθα<br><br>ps m-p p1
ἐλυόμεθα; ἐλῡόμεθα<br><br>ii m-p p1
λυθήσεσθε; λυθήσεσθε<br><br>fi pas p2
λυέτων; λῡέτων<br><br>pimp  d3
λύοις; λύ̄οις<br><br>po  s2
λυθεῖτε; λυθεῖτε / λυθείητε<br><br>ao pas p2
λύσητον; λύ̄σητον<br><br>as  d2<br>as  d3
λυθήσεται; λυθήσεται<br><br>fi pas s3
λύσοις; λύ̄σοις<br><br>fo  s2
ἐλύθητε; ἐλύθητε<br><br>ai pas p2
λύσεσθε; λύ̄σεσθε<br><br>fi mid p2
λύσαιεν; λύ̄σαιεν / λύ̄σειαν<br><br>ao  p3
ἐλύθην; ἐλύθην<br><br>ai pas s1
λύσαιτον; λύ̄σαιτον<br><br>ao  d2
λύσοισθον; λύ̄σοισθον<br><br>fo mid d2
λυθήσοιο; λυθήσοιο<br><br>fo pas s2
λυσαίμεθα; λῡσαίμεθα<br><br>ao mid p1
λύσει; λύ̄σῃ / λύ̄σει<br><br>fi  s3<br>fi mid s2
λύει; λύ̄ῃ / λύ̄ει<br><br>pi  s3<br>pi m-p s2
ἔλυον; ἔλῡον<br><br>ii  s1<br>ii  p3
λύοισθε; λύ̄οισθε<br><br>po m-p p2
λυσάσθω; λῡσάσθω<br><br>aimp mid s3
λύσοιντο; λύ̄σοιντο<br><br>fo mid p3
ἐλύσασθε; ἐλύ̄σασθε<br><br>ai mid p2
λύσοιτον; λύ̄σοιτον<br><br>fo  d2
λύοιτε; λύ̄οιτε<br><br>po  p2
λύοιτο; λύ̄οιτο<br><br>po m-p s3
λυθέντων; λυθέντων<br><br>a pas mpg<br>a pas npg<br>aimp pas p3
λυοίτην; λῡοίτην<br><br>po  d3
λυθήτω; λυθήτω<br><br>aimp pas s3
λυθεῖεν; λυθεῖεν / λυθείησαν<br><br>ao pas p3
λυθήσομαι; λυθήσομαι<br><br>fi pas s1
λυσαίτην; λῡσαίτην<br><br>ao  d3
λύσαιμι; λύ̄σαιμι<br><br>ao  s1
λύσεις; λύ̄σεις<br><br>fi  s2
λυέσθων; λῡέσθων<br><br>pimp m-p d3<br>pimp m-p p3
λυθήσονται; λυθήσονται<br><br>fi pas p3
λύσαιο; λύ̄σαιο<br><br>ao mid s2
λύησθε; λύ̄ησθε<br><br>ps m-p p2
λυσαίσθην; λῡσαίσθην<br><br>ao mid d3
ἐλύσατο; ἐλύ̄σατο<br><br>ai mid s3
λύσῃ; λύ̄σῃ / λύ̄σει<br><br>as  s3<br>fi mid s2<br>as mid s2
ἐλύσασθον; ἐλύ̄σασθον<br><br>ai mid d2
λύωσι; λύ̄ωσι<br><br>ps  p3
λύου; λύ̄ου<br><br>pimp m-p s2
λύσητε; λύ̄σητε<br><br>as  p2
ἐλύου; ἐλύ̄ου<br><br>ii m-p s2
ἐλυέτην; ἐλῡέτην<br><br>ii  d3
ἔλυε; ἔλῡε<br><br>ii  s3
λυοίσθην; λῡοίσθην<br><br>po m-p d3
ἐλυθήτην; ἐλυθήτην<br><br>ai pas d3
ἐλύσω; ἐλύ̄σω<br><br>ai mid s2
λυθῆτε; λυθῆτε<br><br>as pas p2
λυθεῖτον; λυθεῖτον / λυθείητον<br><br>ao pas d2
λύσαις; λύ̄σαις / λύ̄σειας<br><br>ao  s2
