ἡ χώρα: τὴν ________; τὴν χώρᾱν<br><br>τῆς χώρᾱς
ἡ χώρα: τῆς ________; τῆς χώρᾱς<br><br>τῆς χώρᾱς
ἡ χώρα: ἡ ________; ἡ χώρᾱ<br><br>τῆς χώρᾱς
ἡ χώρα: τῇ ________; τῇ χώρᾳ<br><br>τῆς χώρᾱς
ἡ χώρα: ῶ ________; ῶ χώρᾱ<br><br>τῆς χώρᾱς
ἡ χώρα: τὰς ________; τὰς χώρᾱς<br><br>τῆς χώρᾱς
ἡ χώρα: τῶν ________; τῶν χωρῶν<br><br>τῆς χώρᾱς
ἡ χώρα: αἱ ________; αἱ χῶραι<br><br>τῆς χώρᾱς
ἡ χώρα: ταῖς ________; ταῖς χώραις<br><br>τῆς χώρᾱς
ἡ χώρα: τοῖν ________; τοῖν χώραιν<br><br>τῆς χώρᾱς
ἡ χώρα: τὼ ________; τὼ χώρᾱ<br><br>τῆς χώρᾱς
ἡ νίκη: τὴν ________; τὴν νίκην<br><br>τῆς νί̄κης
ἡ νίκη: τῆς ________; τῆς νί̄κης<br><br>τῆς νί̄κης
ἡ νίκη: ἡ ________; ἡ νί̄κη<br><br>τῆς νί̄κης
ἡ νίκη: τῇ ________; τῇ νίκῃ<br><br>τῆς νί̄κης
ἡ νίκη: ῶ ________; ῶ νίκη<br><br>τῆς νί̄κης
ἡ νίκη: τὰς ________; τὰς νίκᾱς<br><br>τῆς νί̄κης
ἡ νίκη: τῶν ________; τῶν νῑκῶν<br><br>τῆς νί̄κης
ἡ νίκη: αἱ ________; αἱ νῖκαι<br><br>τῆς νί̄κης
ἡ νίκη: ταῖς ________; ταῖς νίκαις<br><br>τῆς νί̄κης
ἡ νίκη: τοῖν ________; τοῖν νίκαιν<br><br>τῆς νί̄κης
ἡ νίκη: τὼ ________; τὼ νίκᾱ<br><br>τῆς νί̄κης
ἡ φυγή: τὴν ________; τὴν φῠγήν<br><br>τῆς φῠγῆς
ἡ φυγή: τῆς ________; τῆς φῠγῆς<br><br>τῆς φῠγῆς
ἡ φυγή: ἡ ________; ἡ φῠγή<br><br>τῆς φῠγῆς
ἡ φυγή: τῇ ________; τῇ φῠγῇ<br><br>τῆς φῠγῆς
ἡ φυγή: ῶ ________; ῶ φῠγή<br><br>τῆς φῠγῆς
ἡ φυγή: τὰς ________; τὰς φῠγάς<br><br>τῆς φῠγῆς
ἡ φυγή: τῶν ________; τῶν φῠγῶν<br><br>τῆς φῠγῆς
ἡ φυγή: αἱ ________; αἱ φῠγαί<br><br>τῆς φῠγῆς
ἡ φυγή: ταῖς ________; ταῖς φῠγαῖς<br><br>τῆς φῠγῆς
ἡ φυγή: τοῖν ________; τοῖν φῠγαῖν<br><br>τῆς φῠγῆς
ἡ φυγή: τὼ ________; τὼ φῠγά<br><br>τῆς φῠγῆς
ἡ μοῖρα: τὴν ________; τὴν μοῖρᾰν<br><br>τῆς μοίρᾱς
ἡ μοῖρα: τῆς ________; τῆς μοίρᾱς<br><br>τῆς μοίρᾱς
ἡ μοῖρα: ἡ ________; ἡ μοῖρᾰ<br><br>τῆς μοίρᾱς
ἡ μοῖρα: τῇ ________; τῇ μοίρᾳ<br><br>τῆς μοίρᾱς
ἡ μοῖρα: ῶ ________; ῶ μοῖρᾰ<br><br>τῆς μοίρᾱς
ἡ μοῖρα: τὰς ________; τὰς μοίρᾱς<br><br>τῆς μοίρᾱς
ἡ μοῖρα: τῶν ________; τῶν μοιρῶν<br><br>τῆς μοίρᾱς
ἡ μοῖρα: αἱ ________; αἱ μοῖραι<br><br>τῆς μοίρᾱς
ἡ μοῖρα: ταῖς ________; ταῖς μοίραις<br><br>τῆς μοίρᾱς
ἡ μοῖρα: τοῖν ________; τοῖν μοίραιν<br><br>τῆς μοίρᾱς
ἡ μοῖρα: τὼ ________; τὼ μοίρᾱ<br><br>τῆς μοίρᾱς
ἡ γλῶττα: τὴν ________; τὴν γλῶττᾰν<br><br>τῆς (γλώχι̯ης) γλώττης
ἡ γλῶττα: τῆς ________; τῆς (γλώχι̯ης) γλώττης<br><br>τῆς (γλώχι̯ης) γλώττης
ἡ γλῶττα: ἡ ________; ἡ γλῶττᾰ<br><br>τῆς (γλώχι̯ης) γλώττης
ἡ γλῶττα: τῇ ________; τῇ γλώττῃ<br><br>τῆς (γλώχι̯ης) γλώττης
ἡ γλῶττα: ῶ ________; ῶ γλῶττᾰ<br><br>τῆς (γλώχι̯ης) γλώττης
ἡ γλῶττα: τὰς ________; τὰς γλώττᾱς<br><br>τῆς (γλώχι̯ης) γλώττης
ἡ γλῶττα: τῶν ________; τῶν γλωττῶν<br><br>τῆς (γλώχι̯ης) γλώττης
ἡ γλῶττα: αἱ ________; αἱ γλῶτται<br><br>τῆς (γλώχι̯ης) γλώττης
ἡ γλῶττα: ταῖς ________; ταῖς γλώτταις<br><br>τῆς (γλώχι̯ης) γλώττης
ἡ γλῶττα: τοῖν ________; τοῖν γλώτταιν<br><br>τῆς (γλώχι̯ης) γλώττης
ἡ γλῶττα: τὼ ________; τὼ γλώττᾱ<br><br>τῆς (γλώχι̯ης) γλώττης
ἡ θάλαττα: τὴν ________; τὴν θάλαττᾰν<br><br>τῆς θᾰλάττης
ἡ θάλαττα: τῆς ________; τῆς θᾰλάττης<br><br>τῆς θᾰλάττης
ἡ θάλαττα: ἡ ________; ἡ θάλαττᾰ<br><br>τῆς θᾰλάττης
ἡ θάλαττα: τῇ ________; τῇ θᾰλάττῃ<br><br>τῆς θᾰλάττης
ἡ θάλαττα: ῶ ________; ῶ θάλαττᾰ<br><br>τῆς θᾰλάττης
ἡ θάλαττα: τὰς ________; τὰς θᾰλάττᾱς<br><br>τῆς θᾰλάττης
ἡ θάλαττα: τῶν ________; τῶν θᾰλαττῶν<br><br>τῆς θᾰλάττης
ἡ θάλαττα: αἱ ________; αἱ θάλατται<br><br>τῆς θᾰλάττης
ἡ θάλαττα: ταῖς ________; ταῖς θᾰλάτταις<br><br>τῆς θᾰλάττης
ἡ θάλαττα: τοῖν ________; τοῖν θᾰλάτταιν<br><br>τῆς θᾰλάττης
ἡ θάλαττα: τὼ ________; τὼ θᾰλάττᾱ<br><br>τῆς θᾰλάττης
ὁ νεανίας: τὸν ________; τὸν νεᾱνίᾱν<br><br>τοῦ νεᾱνίου
ὁ νεανίας: τοῦ ________; τοῦ νεᾱνίου<br><br>τοῦ νεᾱνίου
ὁ νεανίας: ὁ ________; ὁ νεᾱνίᾱς<br><br>τοῦ νεᾱνίου
ὁ νεανίας: τῷ ________; τῷ νεᾱνίᾳ<br><br>τοῦ νεᾱνίου
ὁ νεανίας: ῶ ________; ῶ νεᾱνίᾱ<br><br>τοῦ νεᾱνίου
ὁ νεανίας: τοὺς ________; τοὺς νεᾱνίᾱς<br><br>τοῦ νεᾱνίου
ὁ νεανίας: τῶν ________; τῶν νεᾱνιῶν<br><br>τοῦ νεᾱνίου
ὁ νεανίας: οἱ ________; οἱ νεᾱνίαι<br><br>τοῦ νεᾱνίου
ὁ νεανίας: τοῖς ________; τοῖς νεᾱνίοις<br><br>τοῦ νεᾱνίου
ὁ νεανίας: τοῖν ________; τοῖν νεᾱνίαιν<br><br>τοῦ νεᾱνίου
ὁ νεανίας: τὼ ________; τὼ νεᾱνίᾱ<br><br>τοῦ νεᾱνίου
ὁ πολίτης: τὸν ________; τὸν πολῑ́την<br><br>τοῦ πολῑ́του
ὁ πολίτης: τοῦ ________; τοῦ πολῑ́του<br><br>τοῦ πολῑ́του
ὁ πολίτης: ὁ ________; ὁ πολῑ́της<br><br>τοῦ πολῑ́του
ὁ πολίτης: τῷ ________; τῷ πολῑ́τῃ<br><br>τοῦ πολῑ́του
ὁ πολίτης: ῶ ________; ῶ πολῖτᾰ<br><br>τοῦ πολῑ́του
ὁ πολίτης: τοὺς ________; τοὺς πολῑ́τᾱς<br><br>τοῦ πολῑ́του
ὁ πολίτης: τῶν ________; τῶν πολῑτῶν<br><br>τοῦ πολῑ́του
ὁ πολίτης: οἱ ________; οἱ πολῖται<br><br>τοῦ πολῑ́του
ὁ πολίτης: τοῖς ________; τοῖς πολῑ́ταις<br><br>τοῦ πολῑ́του
ὁ πολίτης: τοῖν ________; τοῖν πολῑ́ταιν<br><br>τοῦ πολῑ́του
ὁ πολίτης: τὼ ________; τὼ πολῑ́τᾱ<br><br>τοῦ πολῑ́του
ὁ κριτής: τὸν ________; τὸν κριτήν<br><br>τοῦ κριτοῦ
ὁ κριτής: τοῦ ________; τοῦ κριτοῦ<br><br>τοῦ κριτοῦ
ὁ κριτής: ὁ ________; ὁ κριτής<br><br>τοῦ κριτοῦ
ὁ κριτής: τῷ ________; τῷ κριτῇ<br><br>τοῦ κριτοῦ
ὁ κριτής: ῶ ________; ῶ κριτά<br><br>τοῦ κριτοῦ
ὁ κριτής: τοὺς ________; τοὺς κριτάς<br><br>τοῦ κριτοῦ
ὁ κριτής: τῶν ________; τῶν κριτῶν<br><br>τοῦ κριτοῦ
ὁ κριτής: οἱ ________; οἱ κριταί<br><br>τοῦ κριτοῦ
ὁ κριτής: τοῖς ________; τοῖς κριταῖς<br><br>τοῦ κριτοῦ
ὁ κριτής: τοῖν ________; τοῖν κριταῖν<br><br>τοῦ κριτοῦ
ὁ κριτής: τὼ ________; τὼ κριτά<br><br>τοῦ κριτοῦ
ὁ Ἀτρείδης: τὸν ________; τὸν Ἀτρείδην<br><br>τοῦ Ἀτρείδου
ὁ Ἀτρείδης: τοῦ ________; τοῦ Ἀτρείδου<br><br>τοῦ Ἀτρείδου
ὁ Ἀτρείδης: ὁ ________; ὁ Ἀτρείδης<br><br>τοῦ Ἀτρείδου
ὁ Ἀτρείδης: τῷ ________; τῷ Ἀτρείδῃ<br><br>τοῦ Ἀτρείδου
ὁ Ἀτρείδης: ῶ ________; ῶ Ἀτρείδη<br><br>τοῦ Ἀτρείδου
ὁ Ἀτρείδης: τοὺς ________; τοὺς Ἀτρείδᾱς<br><br>τοῦ Ἀτρείδου
ὁ Ἀτρείδης: τῶν ________; τῶν Ἀτρειδῶν<br><br>τοῦ Ἀτρείδου
ὁ Ἀτρείδης: οἱ ________; οἱ Ἀτρεῖδαι<br><br>τοῦ Ἀτρείδου
