futp pas nsn; λελῡσόμενον
po  p1; λύ̄οιμεν
ps  d3; λύ̄ητον
ps  d2; λύ̄ητον
futp pas nsd; λελῡσομένῳ
futp pas nsg; λελῡσομένου
p  mdn; λύ̄οντε
p  fpd; λῡούσαις
p  fpg; λῡουσῶν
p  mdg; λῡόντοιν
p  fpn; λύ̄ουσαι
per  ndn; λελυκότε
plupi  d3; ἐλελυκέτην
plupi  d2; ἐλελύκετον
per  ndg; λελυκότοιν
fi pas d2; λυθήσεσθον
fi pas d3; λυθήσεσθον
a  ndg; λῡσάντοιν
a pas msv; λυθείς
a  ndn; λύ̄σαντε
po  p3; λύ̄οιεν
po m-p d3; λῡοίσθην
f  ndg; λῡσόντοιν
po  p2; λύ̄οιτε
per  fsd; λελυκυίᾳ
per  fsg; λελυκυίᾱς
f  ndn; λύ̄σοντε
per  fsn; λελυκυῖα
per  fsv; λελυκυῖα
a pas mdn; λυθέντε
fo pas d2; λυθήσοισθον
fo pas d3; λυθησοίσθην
p  fpa; λῡούσᾱς
a pas mdg; λυθέντοιν
f mid mdn; λῡσομένω
ps m-p d2; λύ̄ησθον
perinf ; λελυκέναι
f mid mdg; λῡσομένοιν
f mid fsn; λῡσομένη
peri  p2; λελύκατε
peri  p3; λελύκᾱσι
peri  p1; λελύκαμεν
f mid fsg; λῡσομένης
f mid fsd; λῡσομένῃ
a mid fsv; λῡσαμένη
f mid fsa; λῡσομένην
a mid fsn; λῡσαμένη
f mid fsv; λῡσομένη
a mid fsd; λῡσαμένῃ
a mid fsg; λῡσαμένης
a mid fsa; λῡσαμένην
p m-p fpa; λῡομένᾱς
ainf pas; λυθῆναι
futpo pas d2; λελύ̄σοισθον
p m-p fpd; λῡομέναις
p m-p fpg; λῡομένων
ii m-p p1; ἐλῡόμεθα
ao mid p3; λύ̄σαιντο
ii m-p p3; ἐλύ̄οντο
ii m-p p2; ἐλύ̄εσθε
p m-p fpn; λῡόμεναι
pi m-p s1; λύ̄ομαι
pi m-p s3; λύ̄εται
pi m-p s2; λύ̄ῃ<br>λύ̄ει
per m-p mpa; λελῡομένους
a  fpa; λῡσά̄σας
a  mdg; λῡσάντοιν
a  fpg; λῡσᾱσῶν
per m-p mpd; λελῡομένοις
per m-p mpg; λελῡομένων
a  fpd; λῡσά̄σαις
a  mdn; λύ̄σαντε
f pas ndn; λυθησομένω
a  fpn; λύ̄σᾱσαι
per m-p mpn; λελῡομένοι
a pas fsv; λυθεῖσα
a pas fsg; λυθείσης
a pas fsd; λυθείσῃ
a pas fsa; λυθεῖσαν
a pas fsn; λυθεῖσα
plupi m-p d2; ἐλέλυσθον
plupi m-p d3; ἐλελύσθην
ii  s1; ἔλῡον
ii  s3; ἔλῡε
ii  s2; ἔλῡες
ao  s3; λύ̄σαι<br>λύ̄σειε
ao  s2; λύ̄σαις<br>λύ̄σειας
ao  s1; λύ̄σαιμι
pinf ; λύ̄ειν
ai mid s1; ἐλῡσάμην
ai mid s2; ἐλύ̄σω
ai mid s3; ἐλύ̄σατο
ii m-p d2; ἐλύ̄εσθον
pinf m-p; λύ̄εσθαι
finf ; λύ̄σειν
per m-p fsd; λελῡομένῃ
fi mid p2; λύ̄σεσθε
fi mid p3; λύ̄σονται
fi mid p1; λῡσόμεθα
as  d2; λύ̄σητον
fi  s1; λύ̄σω
fi  s2; λύ̄σεις
fi  s3; λύ̄σει
a  fsg; λῡσά̄σης
f pas mpg; λυθησομένων
f pas mpd; λυθησομένοις
pimp  s3; λῡέτω
pimp  s2; λῦε
futpo pas s1; λελῡσοίμην
f pas mpa; λυθησομένους
p m-p mdg; λῡομένοιν
as mid d3; λύ̄σησθον
as mid d2; λύ̄σησθον
aimp mid p2; λύ̄σασθε
aimp mid p3; λῡσάσθων
pi  p3; λύ̄ουσι
pi  p2; λύ̄ετε
pi  p1; λύ̄ομεν
pers m-p p1; λελυμένοι ὦμεν
pers m-p p3; λελυμένοι ὦσι
pers m-p p2; λελυμένοι ἦτε
a  fsn; λύ̄σᾱσα
as pas d3; λυθῆτον
per  fsa; λελυκυῖαν
a  fsa; λύ̄σᾱσαν
ai  s3; ἔλῡσε
a  fsd; λῡσά̄σῃ
pimp  d3; λῡέτων
plupi  s1; ἐλελύκη
plupi  s2; ἐλελύκης
plupi  s3; ἐλελύκει<br>ἐλελύκειν
a pas msn; λυθείς
a pas msa; λυθέντα
a mid mdg; λῡσαμένοιν
a  fsv; λύ̄σᾱσα
a pas msg; λυθέντος
p m-p ndg; λῡομένοιν
futpo pas s3; λελύ̄σοιτο
a pas msd; λυθέντι
f pas fsv; λυθησομένη
p m-p ndn; λῡομένω
perimp m-p d2; λέλυσθον
aimp pas d2; λύθητον
f pas fsn; λυθησομένη
f pas fsd; λυθησομένῃ
f pas fsg; λυθησομένης
f pas fsa; λυθησομένην
f mid ndg; λῡσομένοιν
a mid mdn; λῡσαμένω
aimp  p3; λῡσάντων
aimp  p2; λύ̄σατε
per m-p ndg; λελῡομένοιν
perimp m-p p2; λέλυσθε
a  msv; λύ̄σᾱς
per m-p ndn; λελῡομένω
f  fdn; λῡσούσᾱ
a  msd; λύ̄σαντι
p  ndn; λύ̄οντε
aimp pas d3; λυθήτων
a  msa; λύ̄σαντα
f  fdg; λῡσούσαιν
a  msn; λύ̄σᾱς
f pas nsd; λυθησομένῳ
fi pas p1; λυθησόμεθα
ao mid d3; λῡσαίσθην
ao mid d2; λύ̄σαισθον
fi pas p3; λυθήσονται
pero m-p d3; λελυμένω εἰήτην<br>λελυμένω εἴτην
pero m-p d2; λελυμένω εἴητον<br>λελυμένω εἶτον
fo pas p1; λυθησοίμεθα
futp pas ndn; λελῡσομένω
futp pas ndg; λελῡσομένοιν
per  mdn; λελυκότε
per  mdg; λελυκότοιν
perimp  p3; λελυκότες ὄντων
perimp  p2; λελυκότες ἐστέ<br>λελύκετε
f mid ndn; λῡσομένω
futp pas fdn; λελῡσομένᾱ
ai mid p1; ἐλῡσάμεθα
ao  p3; λύ̄σαιεν<br>λύ̄σειαν
ai mid p3; ἐλύ̄σαντο
ao  p1; λύ̄σαιμεν
a pas ndg; λυθέντοιν
p  nsn; λῦον
pimp m-p d3; λῡέσθων
pimp m-p d2; λύ̄εσθον
a pas ndn; λυθέντε
p  nsd; λύ̄οντι
p  nsg; λύ̄οντος
fi  d2; λύ̄σετον
peri m-p s2; λέλυσαι
fo mid p1; λῡσοίμεθα
fo mid p2; λύ̄σοισθε
fo mid p3; λύ̄σοιντο
p m-p mpn; λῡόμενοι
f pas mdg; λυθησομένοιν
pers  s1; λελυκὼς ὦ<br>λελύκω
pers  s3; λελυκὼς ᾖ<br>λελύκῃ
pers  s2; λελυκὼς ᾖς<br>λελύκῃς
per m-p mdn; λελῡομένω
pi  s2; λύ̄εις
pi  s3; λύ̄ει
pi  s1; λύ̄ω
aimp mid s3; λῡσάσθω
aimp mid s2; λῦσαι
po m-p d2; λύ̄οισθον
po  s1; λύ̄οιμι
po  s2; λύ̄οις
po  s3; λύ̄οι
f pas ndg; λυθησομένοιν
f pas nsg; λυθησομένου
futp pas mdn; λελῡσομένω
